Name,Rating,Food Types,Address
Smalls,4.2,Cafes,"28 Brackett St, Portland, ME 04102"
Anoche,4.1,Basque; Cocktail Bars,"43 Washington Ave, Portland, ME 04101"
Saltwater Grille,3.3,American; Seafood; Cocktail Bars,"231 Front St, South Portland, ME 04106"
J's Oyster,3.7,Seafood,"5 Portland Pier, Portland, ME 04101"
Crunchy Poké,4.8,Sushi Bars; Ramen; Poke,"426 Fore St, Portland, ME 04101"
Artemisia Cafe,4.4,Breakfast & Brunch; Cafes; Burgers,"61 Pleasant St, Portland, ME 04101"
Roma Cafe,4.1,Italian,"767 Congress St, Portland, ME 04102"
Tu Casa Salvadorena Restaurant,4.3,Salvadoran,"70 Washington Ave, Portland, ME 04101"
O' Oysters,5.0,Caterers; Seafood; Street Vendors,"29 Spring St, South Portland, ME 04106"
Banh Appetit,4.7,Vietnamese; Sandwiches,"171 Cumberland Ave, Portland, ME 04101"
Mesa Grande Taqueria,4.2,Mexican,"140 Fore St, Ste A, Portland, ME 04101"
Sun Vietnamese Restaurant,4.6,Vietnamese; Salad; Chicken Wings,"699 Forest Ave, Portland, ME 04103"
Andy's Old Port Pub,3.8,Pubs; New American; Music Venues,"94 Commercial St, Portland, ME 04101"
Lucky Cheetah,4.1,Dim Sum; Cocktail Bars,"11 Moulton St, Portland, ME 04101"
Low Stakes Lodge,4.1,American; Steakhouses,"106 Exchange St, Portland, ME 04101"
JP's Bistro,4.2,French; Seafood,"204 US Rte 1, Falmouth, ME 04105"
LB Kitchen,4.3,Cafes; Juice Bars & Smoothies; Breakfast & Brunch,"255 Congress St, Portland, ME 04101"
Genji Ramen,5.0,Mexican; Ramen; Sushi Bars,"2 Somerset St, Portland, ME 04101"
Porttown Public House & Coffee Bar,4.8,Bars; Pizza; Coffee & Tea,"123 Commercial St, Portland, ME 04101"
CBG Bar & Grill,4.0,American; Bars,"617 Congress St, Portland, ME 04101"
Dutch's,4.3,Breakfast & Brunch; Sandwiches,"28 Preble St, Portland, ME 04101"
Dok Mali Thai Kitchen,4.1,Thai; Salad; Chicken Wings,"47 India St, Portland, ME 04101"
The Corner Room,3.6,Italian; Pizza; Bars,"110 Exchange St, Portland, ME 04101"
Mr. Tuna,4.3,Sushi Bars; Food Trucks; Japanese,"83 Middle St, Portland, ME 04101"
Linda Bean Maine Lobster Cafe,5.0,Seafood,"1001 Westbrook St, Portland, ME 04102"
Portland Lobster Co,3.5,Seafood,"180 Commercial St, Portland, ME 04101"
Tacos Del Seoul,4.9,Food Trucks; Korean; Mexican,"Portland, ME 04101"
Jaffa Mediterranean Grill,4.5,Mediterranean,"364 Maine Mall Rd, Ste F-121, South Portland, ME 04106"
Marcy's Diner,4.3,Diners; American; Breakfast & Brunch,"47 Oak St, Portland, ME 04101"
Salvatore's Hoagie Shop,5.0,Soul Food; Italian; Pop-Up Restaurants,"Portland, ME 04103"
Loco Taco,5.0,Mexican,"849 Forest Ave, Portland, ME 04103"
Saeng Thai House,4.3,Thai; Asian Fusion,"921 Congress St, Portland, ME 04102"
Sicilian Table,3.9,Mediterranean; Italian,"261 US Rt 1, Ste 101, Falmouth, ME 04105"
The Well at Jordan's Farm,4.1,New American,"21 Wells Rd, Cape Elizabeth, ME 04107"
Casita Corazon,4.7,Mexican,"158 Benjamin W Pickett St, South Portland, ME 04106"
Mandy & Matt’s Cafe,4.8,Breakfast & Brunch; American,"1160 Forest Ave, Portland, ME 04103"
Cheese Louise,Portland,Rating: 4.3,"Food Types: Sandwiches, Bars, American"
Waypoint Restaurant,4.4,American; Bars; Seafood,"1050 Westbrook St, Portland, ME 04102"
Calabash,4.6,New American; Cigar Bars; Beer Bar,"425 Western Ave, South Portland, ME 04106"
Other Side Diner,4.1,Diners; Breakfast & Brunch; Greek,"500 Washington Ave, Portland, ME 04103"
Taco Trio,4.2,Mexican,"119 Ocean St, South Portland, ME 04106"
Ramona's,4.5,Breakfast & Brunch,"98 Washington Ave, Portland, ME 04101"
Bistro Leluco,4.7,Bars; Seafood; Mediterranean,"347 Cottage Rd, South Portland, ME 04106"
Terra Cotta Pasta,4.3,Italian,"501 Cottage Rd, South Portland, ME 04106"
Nura Hummus and Falafel,4.6,Middle Eastern; Salad; Sandwiches,"1 Monument Way, Portland, ME 04101"
OTTO,4.2,Pizza; Gluten-Free; Vegetarian,"576 Congress St, Portland, ME 04101"
Micucci Grocery,4.7,Pizza; Grocery; Beer; Wine & Spirits,"45 India St, Portland, ME 04101"
Docks Seafood,3.9,Seafood; Seafood Markets,"15 Evans St, South Portland, ME 04106"
Sal De La Tierra,4.6,Latin American; Mexican,"581 Congress St, Portland, ME 04101"
Fuego,4.5,New Mexican Cuisine,"240 US-1, Unit D2, Falmouth, ME 04105"
Restaurante El Corazon,3.9,Bars; Mexican,"190 State St, Portland, ME 04101"
David's 388,South Portland,Rating: 4.3,"Food Types: New American, Bars, Desserts"
Mr Chickpea,4.8,Mediterranean; Middle Eastern,"611 Main St, Unit 3, South Portland, ME 04106"
Rio Bravo Tacos and Tequila,4.3,Mexican,"11 Main St, Ste 14, Westbrook, ME 04092"
Eighteen95,4.5,Breakfast & Brunch,"20 Milk St, Portland, ME 04101"
De Vons,5.0,French,"123 School St, Unit 2, South Portland, ME 04106"
Paper City BBQ,3.9,Barbeque; Whiskey Bars,"855 Main St, Westbrook, ME 04092"
Jerome's,4.7,Sports Bars; Sandwiches,"223 Congress St, Portland, ME 04101"
The Rusty Lantern,3.7,New American; Coffee & Tea; Gas Stations,"2282 Congress St, Portland, ME 04102"
Tres Leches Cakes Flor,4.4,Bakeries; Mexican,"863 Broadway, South Portland, ME 04106"
Pattaya Kitchen,4.5,Asian Fusion; Thai; Noodles,"740 Broadway, Ste 500, South Portland, ME 04106"
Dina’s Cuisine,4.5,Mediterranean; Middle Eastern; Bakeries,"845R Forest Ave, Portland, ME 04103"
Port 65 Kitchen & Bar,4.8,Diners; Breakfast & Brunch; Bars,"65 Commercial St, Portland, ME 04101"
Phoever Maine Vietnamese Bar & Grill,4.3,Vietnamese; Soup; Cocktail Bars,"100 Larrabee Rd, Westbrook, ME 04092"
Asmara,4.4,African; Ethiopian; Eritrean,"51 Oak St, Portland, ME 04101"
Forage Market,3.9,Breakfast & Brunch; Bagels; Sandwiches,"123 Washington Ave, Portland, ME 04101"
Sebago Brewing Company,3.7,New American; Brewpubs; Burgers,"201 Southborough Dr, Scarborough, ME 04074"
Monte's Fine Foods,4.4,Grocery; Pizza; Sandwiches,"788 Washington Ave, Portland, ME 04103"
Yosaku,3.9,Japanese; Sushi Bars,"1 Danforth St, Portland, ME 04101"
